"The recipe","Source file count","Source file changed count","Cumulative scanning time","99th percentile scanning time","Max scanning time","Cumulative edit time","99th percentile edit time","Max edit time"
"The recipe whose stats are being measured both individually and cumulatively.","The number of source files the recipe ran over.","The number of source files which were changed in the recipe run. Includes files created, deleted, and edited.","The total time spent across the scanning phase of this recipe.","99 out of 100 scans completed in this amount of time.","The max time scanning any one source file.","The total time spent across the editing phase of this recipe.","99 out of 100 edits completed in this amount of time.","The max time editing any one source file."
"org.openrewrite.java.ChangeMethodAccessLevel","216","36","0","0.0","0","2241181","0.99","140599"
"org.openrewrite.java.migrate.javax.AddJaxwsRuntime","54","36","0","0.0","0","32592","0.99","20200"
"org.openrewrite.java.migrate.net.MigrateMulticastSocketGetTTLToGetTimeToLive","54","36","0","0.0","0","9501","0.99","1400"
"org.openrewrite.github.SetupJavaUpgradeJavaVersion","162","36","0","0.0","0","498707","0.99","129600"
"org.openrewrite.java.migrate.UpgradeToJava6","54","36","0","0.0","0","6807","0.99","799"
"org.openrewrite.java.migrate.UpgradeToJava17","54","36","0","0.0","0","7498","0.99","901"
"org.openrewrite.java.migrate.UpgradeToJava7","54","36","0","0.0","0","7498","0.99","1001"
"org.openrewrite.java.migrate.AddLombokMapstructBinding","54","36","0","0.0","0","11502","0.99","1200"
"org.openrewrite.java.migrate.RemovedLegacySunJSSEProviderName","54","36","0","0.0","0","15598","0.99","799"
"org.openrewrite.java.migrate.UpgradeToJava8","54","36","0","0.0","0","9897","0.99","2900"
"org.openrewrite.java.migrate.util.OptionalNotEmptyToIsPresent","54","36","0","0.0","0","403097","0.99","34400"
"org.openrewrite.java.migrate.DeprecatedCountStackFramesMethod","54","36","0","0.0","0","16289","0.99","999"
"org.openrewrite.maven.ChangeManagedDependencyGroupIdAndArtifactId","108","36","0","0.0","0","999296","0.99","603599"
"org.openrewrite.java.migrate.sql.MigrateDriverManagerSetLogStream","54","36","0","0.0","0","144792","0.99","24300"
"org.openrewrite.java.migrate.UpgradeToJava21","54","36","0","0.0","0","8306","0.99","1200"
"org.openrewrite.java.migrate.javax.MigrateAbstractTypeVisitor6To9","54","36","0","0.0","0","69501","0.99","50301"
"org.openrewrite.java.migrate.JREThrowableFinalMethods","54","36","0","0.0","0","736499","0.99","100700"
"org.openrewrite.config.DeclarativeRecipe$PreconditionBellwether","54","36","0","0.0","0","6410596","0.99","5451699"
"org.openrewrite.java.migrate.ReplaceLocalizedStreamMethods","54","36","0","0.0","0","8688902","0.99","832400"
"org.openrewrite.java.migrate.JREJdbcInterfaceNewMethods","54","36","0","0.0","0","22292","0.99","3800"
"org.openrewrite.java.dependencies.ChangeDependency","162","36","0","0.0","0","7871100","0.99","5264000"
"org.openrewrite.java.migrate.javax.MigrateXMLEventFactoryNewInstanceToNewFactory","54","36","0","0.0","0","8600","0.99","1499"
"org.openrewrite.java.migrate.RemoveIllegalSemicolons","54","36","0","0.0","0","11967601","0.99","1341501"
"org.openrewrite.staticanalysis.BigDecimalRoundingConstantsToEnums","54","36","0","0.0","0","12695199","0.99","1693200"
"org.openrewrite.java.migrate.javax.MigrateElementKindVisitor6To9","54","36","0","0.0","0","15305","0.99","1700"
"org.openrewrite.java.migrate.lombok.LombokValToFinalVar","54","36","0","0.0","0","3913804","0.99","238299"
"org.openrewrite.gradle.AddDependency","54","36","861002","0.99","92200","703394","0.99","60100"
"org.openrewrite.java.migrate.UpgradeJavaVersion","162","36","0","0.0","0","81851900","0.99","15348800"
"org.openrewrite.java.migrate.lang.MigrateClassNewInstanceToGetDeclaredConstructorNewInstance","54","36","0","0.0","0","1731201","0.99","300600"
"org.openrewrite.java.migrate.ReplaceComSunAWTUtilitiesMethods","54","36","0","0.0","0","10743995","0.99","955999"
"org.openrewrite.java.migrate.util.ReplaceMathRandomWithThreadLocalRandomRecipe","54","36","0","0.0","0","1702402","0.99","974900"
"org.openrewrite.java.dependencies.RemoveDependency","108","36","626089","0.99","125400","11106902","0.99","6758599"
"org.openrewrite.java.migrate.javax.MigrateAbstractAnnotationValueVisitor6To9","54","36","0","0.0","0","9605","0.99","2301"
"org.openrewrite.java.ChangePackage","162","36","0","0.0","0","13003610","0.99","540700"
"org.openrewrite.java.migrate.util.ListFirstAndLast","54","36","0","0.0","0","2137809","0.99","183800"
"org.openrewrite.java.migrate.maven.UpdateMavenProjectPropertyJavaVersion","162","36","0","0.0","0","46642498","0.99","45240300"
"org.openrewrite.java.migrate.net.URLConstructorsToURIRecipes$URLSingleArgumentConstructorRecipe","54","36","0","0.0","0","14148607","0.99","1152100"
"org.openrewrite.staticanalysis.PrimitiveWrapperClassConstructorToValueOf","54","36","0","0.0","0","14638002","0.99","1736600"
